,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-04,2901.509856,-2001.8660325640967,2482.944037733526,2901.509856,2901.509856,-2628.3275570799,-2628.3275570799,-2628.3275570799,-2628.3275570799,-2628.3275570799,-2628.3275570799,0.0,0.0,0.0,273.18229892010004
1,2021-01-11,2903.7537094153845,-641.3345066957681,3726.24011829404,2903.7537094153845,2903.7537094153845,-1446.3196116506342,-1446.3196116506342,-1446.3196116506342,-1446.3196116506342,-1446.3196116506342,-1446.3196116506342,0.0,0.0,0.0,1457.4340977647503
2,2021-01-18,2905.9975628307693,487.73530321682864,4873.318012067137,2905.9975628307693,2905.9975628307693,-145.85535573147624,-145.85535573147624,-145.85535573147624,-145.85535573147624,-145.85535573147624,-145.85535573147624,0.0,0.0,0.0,2760.142207099293
3,2021-01-25,2908.2414162461537,1222.332643513121,5727.210361746267,2908.2414162461537,2908.2414162461537,567.330107259933,567.330107259933,567.330107259933,567.330107259933,567.330107259933,567.330107259933,0.0,0.0,0.0,3475.5715235060866
4,2021-02-01,2910.4852696615385,1401.4936395041032,5809.03457713832,2910.4852696615385,2910.4852696615385,665.5844117468644,665.5844117468644,665.5844117468644,665.5844117468644,665.5844117468644,665.5844117468644,0.0,0.0,0.0,3576.069681408403
5,2021-02-08,2912.7291222472772,1212.8314762258785,5716.90993458307,2912.7291222472772,2912.7291222472772,598.5395467044584,598.5395467044584,598.5395467044584,598.5395467044584,598.5395467044584,598.5395467044584,0.0,0.0,0.0,3511.268668951736
6,2021-02-15,2914.972974833017,1435.6397519752552,5758.616539873666,2914.972974833017,2914.972974833017,680.8113942640589,680.8113942640589,680.8113942640589,680.8113942640589,680.8113942640589,680.8113942640589,0.0,0.0,0.0,3595.784369097076
7,2021-02-22,2917.2168274187557,1335.5298015190158,5997.740140686239,2917.2168274187557,2917.2168274187557,776.8942507711729,776.8942507711729,776.8942507711729,776.8942507711729,776.8942507711729,776.8942507711729,0.0,0.0,0.0,3694.111078189929
8,2021-03-01,2919.460680004495,1258.5210930369046,5689.747191422289,2919.460680004495,2919.460680004495,573.8704521345979,573.8704521345979,573.8704521345979,573.8704521345979,573.8704521345979,573.8704521345979,0.0,0.0,0.0,3493.331132139093
9,2021-03-08,2921.704532590234,789.3841216093132,5154.487638288988,2921.704532590234,2921.704532590234,45.226875792164805,45.226875792164805,45.226875792164805,45.226875792164805,45.226875792164805,45.226875792164805,0.0,0.0,0.0,2966.931408382399
10,2021-03-15,2923.948385522198,272.1200137221963,4525.162867161575,2923.948385522198,2923.948385522198,-457.9519209949777,-457.9519209949777,-457.9519209949777,-457.9519209949777,-457.9519209949777,-457.9519209949777,0.0,0.0,0.0,2465.9964645272203
11,2021-03-22,2926.1922384541617,65.46321650343371,4591.225393237021,2926.1922384541617,2926.1922384541617,-570.2322377553947,-570.2322377553947,-570.2322377553947,-570.2322377553947,-570.2322377553947,-570.2322377553947,0.0,0.0,0.0,2355.960000698767
12,2021-03-29,2928.436091386126,450.7552395326964,4754.57634361177,2928.436091386126,2928.436091386126,-291.1791389490855,-291.1791389490855,-291.1791389490855,-291.1791389490855,-291.1791389490855,-291.1791389490855,0.0,0.0,0.0,2637.2569524370406
13,2021-04-05,2930.67994431809,747.5644103789814,5219.080026893338,2930.67994431809,2930.67994431809,33.39568697425836,33.39568697425836,33.39568697425836,33.39568697425836,33.39568697425836,33.39568697425836,0.0,0.0,0.0,2964.075631292348
14,2021-04-12,2932.9237984309475,795.0192798353405,5210.780032391347,2932.9237984309475,2932.9237984309475,69.87722970024281,69.87722970024281,69.87722970024281,69.87722970024281,69.87722970024281,69.87722970024281,0.0,0.0,0.0,3002.8010281311904
15,2021-04-19,2935.1676525438047,601.7450927636291,4954.288743937713,2935.1676525438047,2935.1676525438047,-206.47597938423502,-206.47597938423502,-206.47597938423502,-206.47597938423502,-206.47597938423502,-206.47597938423502,0.0,0.0,0.0,2728.6916731595697
16,2021-04-26,2937.4115066566624,188.3848609647531,4504.597925737662,2937.4115066566624,2937.4115066566624,-545.2473347330273,-545.2473347330273,-545.2473347330273,-545.2473347330273,-545.2473347330273,-545.2473347330273,0.0,0.0,0.0,2392.164171923635
17,2021-05-03,2939.655360769519,65.19851061492176,4543.341650045838,2939.655360769519,2939.655360769519,-676.3735777620868,-676.3735777620868,-676.3735777620868,-676.3735777620868,-676.3735777620868,-676.3735777620868,0.0,0.0,0.0,2263.2817830074323
18,2021-05-10,2941.8992148823763,171.03391461531226,4574.746294056575,2941.8992148823763,2941.8992148823763,-504.4396895402161,-504.4396895402161,-504.4396895402161,-504.4396895402161,-504.4396895402161,-504.4396895402161,0.0,0.0,0.0,2437.4595253421603
19,2021-05-17,2944.1430684420625,654.8222711942179,5135.148424742447,2944.1430684420625,2944.1430684420625,-111.48616412825285,-111.48616412825285,-111.48616412825285,-111.48616412825285,-111.48616412825285,-111.48616412825285,0.0,0.0,0.0,2832.6569043138097
20,2021-05-24,2946.386922001748,926.4117776719205,5479.983229773107,2946.386922001748,2946.386922001748,342.5540685910431,342.5540685910431,342.5540685910431,342.5540685910431,342.5540685910431,342.5540685910431,0.0,0.0,0.0,3288.9409905927914
21,2021-05-31,2948.6307755614343,1564.1698116309876,5841.879847400039,2948.6307755614343,2948.6307755614343,698.411662135478,698.411662135478,698.411662135478,698.411662135478,698.411662135478,698.411662135478,0.0,0.0,0.0,3647.042437696912
22,2021-06-07,2950.87462912112,1569.3055704942567,6039.845492073429,2950.87462912112,2950.87462912112,838.3471442294582,838.3471442294582,838.3471442294582,838.3471442294582,838.3471442294582,838.3471442294582,0.0,0.0,0.0,3789.221773350578
23,2021-06-14,2953.1184826690155,1404.985110018376,5828.196107461475,2953.1184826690155,2953.1184826690155,724.9440551154211,724.9440551154211,724.9440551154211,724.9440551154211,724.9440551154211,724.9440551154211,0.0,0.0,0.0,3678.0625377844367
24,2021-06-21,2955.3623362169105,1252.8897995696595,5671.374100113374,2955.3623362169105,2955.3623362169105,423.2302701833677,423.2302701833677,423.2302701833677,423.2302701833677,423.2302701833677,423.2302701833677,0.0,0.0,0.0,3378.5926064002783
25,2021-06-28,2957.606189764806,901.7299180621302,5234.133233544812,2957.606189764806,2957.606189764806,64.21708979426552,64.21708979426552,64.21708979426552,64.21708979426552,64.21708979426552,64.21708979426552,0.0,0.0,0.0,3021.8232795590716
26,2021-07-05,2959.8500433127015,666.5190547423657,4859.300135172667,2959.8500433127015,2959.8500433127015,-229.00372130894715,-229.00372130894715,-229.00372130894715,-229.00372130894715,-229.00372130894715,-229.00372130894715,0.0,0.0,0.0,2730.8463220037543
27,2021-07-12,2962.093896860597,366.6290158782404,4794.887734042777,2962.093896860597,2962.093896860597,-380.25304183829286,-380.25304183829286,-380.25304183829286,-380.25304183829286,-380.25304183829286,-380.25304183829286,0.0,0.0,0.0,2581.840855022304
28,2021-07-19,2964.337748783062,509.8485800031295,4916.593296433747,2964.337748783062,2964.337748783062,-350.5910429719544,-350.5910429719544,-350.5910429719544,-350.5910429719544,-350.5910429719544,-350.5910429719544,0.0,0.0,0.0,2613.746705811108
29,2021-07-26,2966.5816007055278,581.4685599114866,4952.921616601055,2966.5816007055278,2966.5816007055278,-149.86437333884712,-149.86437333884712,-149.86437333884712,-149.86437333884712,-149.86437333884712,-149.86437333884712,0.0,0.0,0.0,2816.7172273666806
30,2021-08-02,2968.8254526279925,939.6152930760522,5432.156989201063,2968.8254526279925,2968.8254526279925,104.69688738521886,104.69688738521886,104.69688738521886,104.69688738521886,104.69688738521886,104.69688738521886,0.0,0.0,0.0,3073.5223400132113
31,2021-08-09,2971.069304550457,846.0602900601335,5235.181415371122,2971.069304550457,2971.069304550457,191.1490690703605,191.1490690703605,191.1490690703605,191.1490690703605,191.1490690703605,191.1490690703605,0.0,0.0,0.0,3162.2183736208176
32,2021-08-16,2973.3131568586105,722.1264420496587,5405.260801320953,2973.3131568586105,2973.3131568586105,-44.50951053405722,-44.50951053405722,-44.50951053405722,-44.50951053405722,-44.50951053405722,-44.50951053405722,0.0,0.0,0.0,2928.803646324553
33,2021-08-23,2975.5570091667637,423.05839441931437,4718.152204995244,2975.5570091667637,2975.5570091667637,-456.4126637431679,-456.4126637431679,-456.4126637431679,-456.4126637431679,-456.4126637431679,-456.4126637431679,0.0,0.0,0.0,2519.144345423596
34,2021-08-30,2977.800861474917,104.26514700105655,4625.221474763877,2977.800861474917,2977.800861474917,-604.2570314447293,-604.2570314447293,-604.2570314447293,-604.2570314447293,-604.2570314447293,-604.2570314447293,0.0,0.0,0.0,2373.5438300301876
35,2021-09-06,2980.0447137830697,684.2651915575316,5075.924943630745,2980.0447137830697,2980.0447137830697,-127.89864303859333,-127.89864303859333,-127.89864303859333,-127.89864303859333,-127.89864303859333,-127.89864303859333,0.0,0.0,0.0,2852.146070744476
36,2021-09-13,2982.2885660912234,1739.9655481590478,6132.517152225831,2982.2885660912234,2982.2885660912234,809.5058013977194,809.5058013977194,809.5058013977194,809.5058013977194,809.5058013977194,809.5058013977194,0.0,0.0,0.0,3791.794367488943
37,2021-09-20,2984.5324173541976,2314.042149933761,6606.550822434581,2984.5324173541976,2984.5324173541976,1513.14317853162,1513.14317853162,1513.14317853162,1513.14317853162,1513.14317853162,1513.14317853162,0.0,0.0,0.0,4497.6755958858175
38,2021-09-27,2986.7762686171714,2010.0744343795045,6460.217543102429,2986.7762686171714,2986.7762686171714,1318.8783984751167,1318.8783984751167,1318.8783984751167,1318.8783984751167,1318.8783984751167,1318.8783984751167,0.0,0.0,0.0,4305.654667092288
39,2021-10-04,2989.020119880146,1058.238991442584,5543.764351232789,2989.020119880146,2989.020119880146,238.33910859418376,238.33910859418376,238.33910859418376,238.33910859418376,238.33910859418376,238.33910859418376,0.0,0.0,0.0,3227.35922847433
40,2021-10-11,2991.26397114312,-136.58871138508013,4234.645336738075,2991.26397114312,2991.26397114312,-977.4491281279618,-977.4491281279618,-977.4491281279618,-977.4491281279618,-977.4491281279618,-977.4491281279618,0.0,0.0,0.0,2013.8148430151584
41,2021-10-18,2993.5078215763638,-869.6027141699662,3827.078275311331,2993.5078215763638,2993.5078215763638,-1470.159962015864,-1470.159962015864,-1470.159962015864,-1470.159962015864,-1470.159962015864,-1470.159962015864,0.0,0.0,0.0,1523.3478595604997
42,2021-10-25,2995.7516720096064,-147.11394928185055,4096.49291540381,2995.7516720096064,2995.7516720096064,-991.2442708895171,-991.2442708895171,-991.2442708895171,-991.2442708895171,-991.2442708895171,-991.2442708895171,0.0,0.0,0.0,2004.5074011200893
43,2021-11-01,2997.99552244285,691.8561302441408,5189.24602595363,2997.99552244285,2997.99552244285,-2.5893388695037234,-2.5893388695037234,-2.5893388695037234,-2.5893388695037234,-2.5893388695037234,-2.5893388695037234,0.0,0.0,0.0,2995.4061835733464
44,2021-11-08,3000.2393728760926,1684.1207161771772,6102.5888194928,3000.2393728760926,3000.2393728760926,871.222671664792,871.222671664792,871.222671664792,871.222671664792,871.222671664792,871.222671664792,0.0,0.0,0.0,3871.4620445408846
45,2021-11-15,3002.4832233093357,2387.161309866458,6505.9637706390595,3002.4832233093357,3002.4832233093357,1388.5574057185631,1388.5574057185631,1388.5574057185631,1388.5574057185631,1388.5574057185631,1388.5574057185631,0.0,0.0,0.0,4391.040629027899
46,2021-11-22,3004.727073544441,2488.938848628014,6901.226199331595,3004.727073544441,3004.727073544441,1661.9226155157512,1661.9226155157512,1661.9226155157512,1661.9226155157512,1661.9226155157512,1661.9226155157512,0.0,0.0,0.0,4666.649689060192
47,2021-11-29,3006.9709237795455,2422.358807417366,6976.666211426456,3006.9709237795455,3006.9709237795455,1710.0412655951554,1710.0412655951554,1710.0412655951554,1710.0412655951554,1710.0412655951554,1710.0412655951554,0.0,0.0,0.0,4717.012189374701
48,2021-12-06,3009.2147740146506,1846.513337147987,6497.861487519395,3009.2147740146506,3009.2147740146506,1247.8195811833828,1247.8195811833828,1247.8195811833828,1247.8195811833828,1247.8195811833828,1247.8195811833828,0.0,0.0,0.0,4257.034355198033
49,2021-12-13,3011.458624249755,801.7389791866218,5427.418255742276,3011.458624249755,3011.458624249755,45.368869228189155,45.368869228189155,45.368869228189155,45.368869228189155,45.368869228189155,45.368869228189155,0.0,0.0,0.0,3056.827493477944
50,2021-12-20,3013.7024740658076,-812.9006972461806,3587.243139794883,3013.7024740658076,3013.7024740658076,-1568.375068297369,-1568.375068297369,-1568.375068297369,-1568.375068297369,-1568.375068297369,-1568.375068297369,0.0,0.0,0.0,1445.3274057684387
